time,lp_id,pct_access,engagement_index
1/01/2020,16753,0.04,3.58
1/01/2020,80560,0.09,8.94
1/01/2020,85682,0,
1/01/2020,95731,0.09,2.24
1/01/2020,28504,0,
1/01/2020,57084,0.04,0.89
1/01/2020,25298,0.04,0.45
1/01/2020,32213,0.04,0.45
1/01/2020,50479,0.04,0.45
1/01/2020,96111,0,
2/01/2020,33185,0,
2/01/2050,79547,0.04,37.57
2/01/2020,76649,0.04,0.45
2/01/2020,92993,0,
2/01/2020,28504,0,
2/01/2020,65277,0,
2/01/2020,82296,0,
2/01/2020,80560,0.04,6.71
2/01/2020,90153,0.04,2.68
2/01/2020,43491,0,
2/01/2020,22741,0,
2/01/2020,33869,0,
2/01/2020,95731,0.04,0.45
3/01/2020,76649,0.13,5.37
3/01/2020,98001,0,
3/01/2020,26881,0.04,0.45
3/01/2020,72758,0,
3/01/2020,95253,0,
3/01/2020,79547,0.04,9.39
3/01/2020,95731,0.04,0.89
3/01/2020,65358,0,
3/01/2020,94982,0,
3/01/2020,28504,0,
3/01/2020,70167,0.04,0.45
3/01/2020,37479,0,
3/01/2020,65277,0,
3/01/2020,99916,0.04,3.58
3/01/2020,33185,0,
3/01/2020,30851,0.04,0.45
3/01/2020,84372,0,
3/01/2020,36620,0.04,8.5
3/01/2020,32213,0.04,1.79
3/01/2020,50479,0.04,2.24
3/01/2020,12610,0,
3/01/2020,23248,0,
3/01/2020,84423,0,
3/01/2020,69863,0.04,0.89
3/01/2020,80560,0.04,4.47
3/01/2020,98265,0,
4/01/2020,79547,0,
4/01/2020,64947,0.04,0.45
4/01/2020,28504,0,
4/01/2020,32213,0,
4/01/2020,37479,0,
4/01/2020,36620,0.04,45.17
4/01/2020,76649,0.09,1.34
4/01/2020,61384,0.04,4.92
4/01/2020,26488,0,
4/01/2020,98001,0,
4/01/2020,69863,0.04,0.45
4/01/2020,62538,0,
4/01/2020,65277,0,
4/01/2020,97280,0,
4/01/2020,95731,0.04,0.45
4/01/2020,51340,0,
4/01/2020,54794,0,
4/01/2020,99916,0.04,0.45
4/01/2020,85682,0,
4/01/2020,84423,0,
5/01/2020,26488,0,
5/01/2020,37479,0,
5/01/2020,80560,0.04,21.02
5/01/2020,65535,0,
5/01/2020,28504,0,
5/01/2020,95859,0,
5/01/2020,29158,0,
5/01/2020,51340,0,
5/01/2020,12656,0,
5/01/2020,82296,0,
5/01/2020,28525,0,
5/01/2020,95731,0,
5/01/2020,70167,0.04,1.34
5/01/2020,90153,0,
5/01/2020,46801,0,
5/01/2020,98265,0,
5/01/2020,36620,0.04,12.52
5/01/2020,92867,0.04,1.34
5/01/2020,96706,0,
5/01/2020,99916,0,
5/01/2020,65277,0,
5/01/2020,26696,0,
5/01/2020,76649,0,
5/01/2020,52615,0,
5/01/2020,85572,0,
5/01/2020,94324,0,
5/01/2020,26881,0,
5/01/2020,10533,0,
5/01/2020,33185,0,
5/01/2020,84423,0,
6/01/2020,14769,0.58,24.14
6/01/2020,48165,0.09,1.79
6/01/2020,56028,0,
6/01/2020,71564,0,
6/01/2020,49094,0,
6/01/2020,34201,0,
6/01/2020,91165,0.13,7.6
6/01/2020,60286,8.67,1436.3
6/01/2020,97022,0.04,0.45
6/01/2020,52175,0.18,2.24
6/01/2020,12816,0,
6/01/2020,60825,0.09,1.34
6/01/2020,43491,0.04,15.2
6/01/2020,11206,0.45,5.36
6/01/2020,37017,0,
6/01/2020,86703,0,
6/01/2020,57084,2.32,121.14
6/01/2020,52758,0,
6/01/2020,10533,0,
6/01/2020,66051,0.04,3.58
6/01/2020,99916,3,125.61
6/01/2020,60051,0,
6/01/2020,30532,0.49,33.08
6/01/2020,39004,0,
6/01/2020,89050,0.04,0.45
6/01/2020,81154,0.76,38.44
6/01/2020,94158,0.09,1.34
6/01/2020,78730,0.04,7.15
6/01/2020,43818,0,
6/01/2020,98265,7.82,616.45
6/01/2020,26881,15.02,246.76
6/01/2020,50479,1.12,84.04
6/01/2020,16164,0.31,5.36
6/01/2020,88810,0,
6/01/2020,91030,0.18,112.2
6/01/2020,95859,0.04,3.13
6/01/2020,12984,0,
6/01/2020,86407,0.13,1.34
6/01/2020,68139,0,
6/01/2020,68713,0,
6/01/2020,41587,0.04,0.45
6/01/2020,79673,0,
6/01/2020,28578,0.89,9.39
6/01/2020,51340,0.04,3.58
6/01/2020,72645,0,
6/01/2020,33185,2.01,92.53
6/01/2020,42173,0.04,0.45
6/01/2020,87762,0.04,0.45
6/01/2020,29158,0,
6/01/2020,67843,0,
6/01/2020,65195,0,
6/01/2020,55031,0.04,0.89
6/01/2020,92918,0.04,1.34
6/01/2020,28199,0,
6/01/2020,78662,0,
6/01/2020,17177,0,
6/01/2020,54794,0,
6/01/2020,13429,0,
6/01/2020,65358,0.31,4.02
